,title,author,data,heat,name
75,求推荐好看的网游,废人咸鱼,2018-01-13,15,"网游之剑走偏锋,网游之倒行逆施,战争天堂,网游之锦衣卫,网游之暗黑年代祭,纵猎天下,一枪致命,猛龙过江,龙虎,赤兔记,超神机械师,网游之一枪爆头,谈笑江湖,网游之独步江湖,大剑游侠阿豹"
76,求推李小璐的文 非娱乐文也可以,阿特兰蒂斯帝国,2018-01-10,54,"生于1984,女幽灵,黑兽防御战,我的娱乐圈是这样的,娱乐掌控者,重生之官道,打造娱乐帝国（明星潜规则之皇）,跑男之明星学院"
77,我是虚拟现实游戏游戏公司总裁这作者总是突如其来的放毒,gumi,2018-01-12,28,
78,求弑神者同人,JeannedArc,2017-12-26,34,"当英雄系统养出了魔王,比企谷的弑神者物语,从零开始的游戏人生,最强弑神者,夺取神格,噬血狂袭魔王与真祖,献给魔王的礼赞,噬血狂袭の魔弹射手,不朽金身"
79,寻书，风水类的,upon211,2018-01-13,12,"宅师,斩龙"
80,推荐《大王饶命》，不过有件事得先确认,7See,2017-11-03,141,"大王饶命,最初的寻道者,人生长恨水长东,一人之下,黑暗降临,北京战争"
81,重生之神级学霸真是装b文范文！,83750189,2017-12-18,35,"制霸好莱坞,全职猎人,跑出我人生,高岭之花"
82,找一本援共文,剪水星眸,2017-12-30,7,大国文娱
83,求一书名,szln0001,2018-01-13,1,
84,网文里有没有美到慕容惜生这个程度的女主？,云梦风,2018-01-07,76,"牧神记,续终物语,业物语,围城"
85,求一本玄幻风的小说,琴訫々劍胆,2018-01-13,2,无限气运主宰
86,求神通法术有出处或者有新意的仙侠文,冰无漪,2018-01-13,14,"白骨道宫,大唐西域直播记,法爷毕业指南,道辟九霄,法师毕业指南,二青,聊斋求道,问镜,寄灵,地煞七十二变"
87,《马恩的日常》背景看起来挺吊的,纳尔逊勋爵,2018-01-09,61,"马恩的日常,限制级末日症候群"
88,高堡奇人---想象力与政治三观正确,huhaodahu,2018-01-10,52,"高堡奇人,夜色,美利坚邦联"
89,我家客厅有个副本》这是例行崩文的节奏？,姬昊,2018-01-11,21,
90,推 《这个游戏不简单》,ronshout,2018-01-09,32,这个游戏不简单
91,以评代推，为某位作者推书《末世图腾》,春去花还在,2017-12-25,85,末世图腾
92,求书：关于基督教历史发展的科普书,平远,2018-01-13,8,"基督教思想史,基督教神学思想史,新教伦理与资本主义精神"
93,求一本书名,轩辕天羽,2018-01-11,5,"虚拟的历史,历史的另一种可能"
94,怎么很少看到用弓箭的？神话传说中好歹有后羿。,纯白极光,2017-12-10,152,"网游之射破苍穹,异世之恶魔猎手,灵山,恶魔法则,弓之道,天珠变,箭神,魔弹之王与战姬,箭皇,异界之恶魔猎手,箭破九天,天枢,大汉箭神,箭定天下,天元,炽焰之魂,银河护卫队"
95,《大剑之最强辅助》粮草以上，仙草可期。,拓阿托按颓,2017-12-21,57,"穿越者纵横动漫世界,大剑之最强辅助"
96,【书单2017】做个2017再看的书单,kanelives,2018-01-11,20,"莽穿新世界,助鬼为乐系统,文化入侵异世界,大明：征服天堂,帝国军头的诞生,超神机械师,帝国之刃,魔鬼的料理超黑暗,文化征服异界,我被系统托管了,巅峰文明,寒霜之翼,革宋,我的群星帝国,绝境长城上的王者,帝国重器,邪恶组织注意事项,唐朝工科生,难道我是神,超神幼稚园,重燃,幻想世界大穿越,娱乐星工厂,魔法种族大穿越,异常生物见闻录,天下豪商,异常魔兽见闻录,鼎宋,机甲定制大师,重生美国当大师,重生日本当厨神,历史粉碎机,放开那个女巫"
97,求本书名养着养着就忘记叫什么了,九尾老狐,2018-01-12,5,超能重工
98,掌阅求书～,天行者TY,2017-12-08,20,"大明狂士,烽火盛唐,我把基友变成妹,王国的建立"
99,推一本新发现的足球文《下一场》粮草以上把。,solomone,2017-11-05,54,"下一场,绿茵人生"
100,找一本书，感觉场面很宏大,纳尔逊勋爵,2018-01-11,3,脑洞大爆炸
101,找一本看书，特异功能类的,sizhangji,2016-06-19,10,
102,大佬们，找本0708年的书,ww782910363,2018-01-13,5,
103,再谈《民国之文豪崛起》,mlsnatalie,2017-12-28,141,"重生美国当大师,纸上人,大国崛起,射雕,狼图腾,赞美,毛选,民国之文豪崛起"
104,2018在追的幼苗,疏楼龙宿-苍,2018-01-11,18,"蛊惑魔王,飞越三十年,山海八荒录,古希腊地中海霸主,捡了本天书,勒胡马,凡人修仙之仙界篇,二青,聊斋求道,电视剧世界,大唐官,低维游戏,吹神,临时监护人,他从地狱来"
105,太空压力大，就问你怕不怕,清凌,2018-01-12,65,
106,找俩本书，一本无限流，一本武侠,我猜你猜我,2018-01-12,16,超级掌门
107,求JOJO同人,wudizhu110,2018-01-11,20,
108,来来来，评选一下【中原水神】！,litaofox,2018-01-09,38,"异界生活助理神,重生之妖孽人生,重生之神级学霸,幻世之刺客传说,宇宙巨校闪级生,修神外传,超品相师,我真是大明星,修真重生美利坚,超级全能巨星,无限拍卖,带着农场混异界"
109,推本书《重燃狮城1994》,马甲是好汉,2018-01-06,55,"重燃狮城1994,星球大战"
110,有些书我看着没问题却被喷成小白文,凤衣,2018-01-11,26,"大王饶命,裁决使,绝对交易,战争天堂,完本之王,低维游戏"
111,【书单2017】个人口味比较杂，但小白文除非特别有特点，否则不会喂毒，门什么的懒得建 ...,书山在脚下,2018-01-08,3,
112,求这一类的书,zhpman1234,2018-01-12,1,"二鬼子汉奸李富贵,<span>帝国的晨辉</span>"
113,找一本x了女体大蛇丸的书,鸢尾色,2018-01-08,33,极限恐惧
114,推书加求书，关于心理医生,灵活的87kg,2018-01-11,6,"心魔,都市修仙指南,大人的心理学,只因暮色难寻,消失的八门"
115,一本幼苗，《飞越三十年》八十年代不一样的故事,毒神之神,2017-12-27,39,"永不解密,飞越三十年,修真重生美利坚"
116,游戏为主 · 书单,恶魔小丑,2018-01-08,8,"绝地大主播,半精灵位面之旅,绝地求生：吃鸡手册,万能私人教练,英雄联盟之冠军之箭,火影之救世主,程序员修真之路,绝地求生之绝世老阴,纵猎天下,小明星演义,宇宙启示录,超神机械师,镇狱冥王,恐怖沸腾,绝地求生之最强王者,环城术士"
117,推两本限免的书,小黑屋住户,2018-01-12,1,"工业之流光岁月,超级预言大师"
118,找一本书，大佬来帮帮忙,三年血赚233,2018-01-12,6,
119,《致命武力之新世界》还真是打开了新世界的大门啊？,礼拜六大魔王,2018-01-09,40,"致命武力之新世界,仙剑奇侠传,侠客风云传,勇者死了是因为跳下了作者挖的坑"
120,《未来聊天群》作者阅朗薪稀算是把赚钱文推上极致。,礼拜六大魔王,2018-01-03,29,"未来聊天群,世界那么大,全音阶狂潮,金融慈善家"
121,昨天晚上找了一本书，一看欲罢不能,夜断五魂,2018-01-06,18,"幻想降临现实,万妖之祖,永恒国度"
122,求一本清穿（只知道大概剧情不知道名字）,绿芝,2018-01-07,25,
123,一个蛇妖拜菩提祖师为师是什么书,已惘然丿,2018-01-09,29,"重生成妖,洪荒玄蛇,剑种,二青,黑水玄蛇"
124,《侯沧海商路笔记》好看极了！已肥可宰~,飘飘慢如,2018-01-11,9,侯沧海商路笔记
125,《这个天国不太平》 小学老师工资是县长的两倍,litaofox,2018-01-10,91,"山西全省施行义务教育规程,民国十三年中国教育状况,这个天国不太平"
126,求推专挖墙脚的娱乐文,一笑江横,2018-01-02,56,"肆虐韩娱,好吃不过饺子,偷香高手,我的娱乐圈是这样的,易容术:醉卧女人怀,娱乐春秋"
127,求本书忘记叫什么了,无双白玉楼,2018-01-12,2,旅法师流浪记
128,为什么《天苍黄》不（够）好看,skywalking,2018-01-11,5,"墨子.所染,天苍黄"
129,找一本废土流的老小说,玉溪本尊,2017-08-26,11,
130,找一本有妖气的老书，德式拱桥摔凹凸曼的。,三俗皇帝,2018-01-12,0,
131,推书一本《重生之建筑大师》,岳畫殺,2018-01-09,21,重生之建筑大师
132,找本重生书的名字，有跟高中老师。。。,xundingdaxia,2018-01-09,15,"重返旧时光,重活了"
133,求和法爷毕业指南同类的书，那种现代生活与修仙结合的,佟道中人,2017-12-25,12,"法爷毕业指南,立道庭,法师三定律,新格物致道"
134,感觉带有一共风貌的赤色流看多了，有些厌倦,仓鼠饲养员,2018-01-11,62,"赤色黎明,召唤圣剑,太平天国,从酋长到球长,钢铁是怎样炼成的,剑与旗帜,将红旗插边废土"
135,有没有聪明的教我们怎么花钱的古代穿越小说,奴天,2018-01-08,30,"唐朝工科生,天下第一,挽明,天下豪商"
136,找一本书客的书-已解决,萌萌的黑喵,2018-01-12,2,不充钱你能变强么
137,求类似鬼吹灯这种老道文,龙骑兵.NO1,2018-01-11,11,"民调局异闻录后传,苗疆道事"
138,求书，女主叫夏小麦！,大西洋上的风,2018-01-11,9,震惊全国！女主叫卖小虾！
139,求一本老书名，老司机在哪里？,colorshi,2018-01-06,3,
140,热衷于跪女是什么心态,新手勿喷,2018-01-04,66,"黑兽防御战,痴人之爱"
141,难道历史文不兴么？,胡斯文,2017-10-26,78,"天下豪商,明末锦绣,暗黑大宋,士大夫的。。。,丝路大亨,勒胡马,重生美国当大师,我要做门阀,东周列国志,从酋长到球长,带着仓库穿大明,寒门贵子,汉乡,大明1624,大明春色,1640四海扬帆,挽明"
142,雪中悍刀行 依然在踢父亲屁股那段败退,mushsaya,2018-01-09,71,"多情剑客无情剑,悟空传"
143,求一本以前看过的商战书，有十四个职业……,妖都听日,2018-01-12,1,
144,想找本实体老书，关键词“奸杀”“芒果”“制毒”,戮SIR,2018-01-11,4,梅花铺奇案
145,最近有没有什么比较爽的玄幻仙侠？,苍＃空,2018-01-12,3,"世尊,重生之都市修仙"
146,最近历史类神书多多，刚看到一本《匈奴皇帝》,手榴弹,2017-12-17,80,匈奴皇帝
147,求书，一本老书,左蜘蛛,2018-01-10,3,无限之主角必须死 
148,推荐点主角不bb的网文,星之翔,2018-01-02,41,"无敌剑域,穿越诸天当邪神,时间掠夺,无限杀路,星河大帝,凡人修仙传,横行霸道,黑山老妖,霸皇纪"
149,万能龙空，找本书，书客的,姒文命,2017-12-29,8,
150,推《我的毛妹》的作者新书--《六万年之后》,hehelaya,2017-11-11,75,"大时代1958,大宇宙时代,GCZY黑皮书,斯大林的种族灭绝,我的苏联,重生我的时代,六万年之后,不列颠百科全书"
151,有些作者就是表里不一，自己打自己的脸,like415like,2018-01-09,34,"一个头两个大,羞羞的铁拳,神探飞机头"
152,现在的主角都那么丧心病狂的吗？,节堕,2018-01-04,106,"时间掠夺,穿越诸天当邪神,崩坏"
153,求推仙侠类书籍！,云遄,2018-01-02,25,"聊斋之上仙,山海八荒录,峨眉祖师,大劫主,步剑庭,炼道长生,法象仙途,焚天,大道争锋,仙葫,顾道长生,地煞七十二变,剑诀,仙鸿路,纯阳剑尊,那年那蝉那把剑,青玄道主,二青,青帝证仙途,通天大圣,紫青龙吟记,灭运图录,走进修仙"
154,标题重生电子帝国太监两年又长出来了,zzzz802,2018-01-10,17,"电子生涯,重生电子帝国,复活之战斗在第三帝国"
155,找一本上古老书,旧日支配者,2018-01-05,6,
156,推书《聊斋仙境》,神是萝莉控,2018-01-10,24,聊斋仙境
157,《我，型月，漫画家！》完美的用18万字描写了一个废物主角,神灵de伊甸,2017-12-07,83,"无限作死之旅,我，型月，漫画家！"
158,推本奇幻 无光之月吧，奇幻精品。,卧于龙门,2018-01-05,37,"无光之月,聊斋求道,战斗司书,黑兽防御战"
159,编辑,我虎啦吧唧的,2018-01-11,5,
160,求书！虐主文，主角是一个天使，被主神欺骗下凡受尽折磨,江楚枫,2018-01-11,7,
161,昨天看了银娇，我有一个想法,元妙先生,2018-01-10,22,
162,老哥们找两本小说。,小夏啊小夏,2018-01-11,8,"无尽神器,阿凡提,圣僧,我真是武道高手,游方道士"
